Cliente;Status;Tipo Pagto;Conta Financeira;Documento;Dt. Vencimento;Dt. Pagamento;Valor Título;Valor Pago;
"03604115000183_INST. NEFROLOGI";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"402601";"25/04/2026";;"505,70";"0,00";
"11062400000148_MULTIVIX SERRA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"420401";"25/04/2026";;"4.457,16";"0,00";
"28154847000301 REALCAFE SOLU";"ABERTO";"DEP. CONTA";"VENDAS";"436501";"25/04/2026";;"15.385,00";"0,00";
"23456144000152_PORTERLIMP";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"441601";"25/04/2026";;"350,00";"0,00";
"10921911000709 FORTLEV INDUSTR";"ABERTO";"DEP. CONTA";"VENDAS";"437401";"25/04/2026";;"800,00";"0,00";
"30676860000100-EDIFICIO BANCO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"442001";"25/04/2026";;"360,00";"0,00";
"49933004000111_INST.STA.TEREZ.";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"441701";"25/04/2026";;"160,55";"0,00";
"14509405000164 ROBSON BINDACO";"ABERTO";"BOLETO";"VENDAS";"438002";"25/04/2026";;"941,44";"0,00";
"26667678000116 CARLOS EDUARDO";"ABERTO";"BOLETO";"VENDAS";"438102";"26/04/2026";;"447,00";"0,00";
"49497434000138 ML EMPREENDIMEN";"ABERTO";"BOLETO";"VENDAS";"409503";"26/04/2026";;"732,00";"0,00";
"12664239000145 PRATTIBRAS";"ABERTO";"BOLETO";"VENDAS";"409203";"26/04/2026";;"403,20";"0,00";
"54782344000390 ORLETTI MOTOC";"ABERTO";"BOLETO";"VENDAS";"410202";"27/04/2026";;"579,50";"0,00";
"54782344000390 ORLETTI MOTOC";"ABERTO";"BOLETO";"VENDAS";"410302";"27/04/2026";;"92,50";"0,00";
"07619387000108_INFRA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"440601";"30/04/2026";;"379,00";"0,00";
"13248429000144 GO SERV TRANSPO";"ABERTO";"BOLETO";"VENDAS";"439601";"30/04/2026";;"6.065,46";"0,00";
"12026014000163 CAME";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"438401";"30/04/2026";;"1.030,00";"0,00";
"ARCELOR MITTAL BRASIL S/A";"ABERTO";"TRANSF. BANCÁRIA";"VENDAS";"439501";"30/04/2026";;"400,00";"0,00";
"34151100001102 SOTREQ";"ABERTO";"DEP. CONTA";"SERVIÇOS AVULSOS";"438701";"30/04/2026";;"214,50";"0,00";
"34151100001102 SOTREQ";"ABERTO";"DEP. CONTA";"SERVIÇOS AVULSOS";"440101";"30/04/2026";;"260,00";"0,00";
"27496819000148 UNIAO GILDASIO";"ABERTO";"BOLETO";"VENDAS";"439101";"30/04/2026";;"1.958,00";"0,00";
"GB OLEOHIDRAULICA GRUPO EMPRES";"ABERTO";"BOLETO";"VENDAS";"439701";"30/04/2026";;"113,00";"0,00";
"11688995000141_VS - VITAL";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"415801";"30/04/2026";;"75,94";"0,00";
"04423567003228 ENEVA S.A.";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"430601";"01/05/2026";;"332,00";"0,00";
"61327045000402-ISAPA IMPORTACA";"ABERTO";"BOLETO";"VENDAS";"440501";"02/05/2026";;"200,00";"0,00";
"11357238000195 UNILOGISTICA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"440901";"02/05/2026";;"396,66";"0,00";
"27169879000156 BRASITALIA";"ABERTO";"BOLETO";"VENDAS";"391403";"04/05/2026";;"2.098,76";"0,00";
"05552292000199 ATLANTICA PRODU";"ABERTO";"BOLETO";"VENDAS";"422103";"04/05/2026";;"939,00";"0,00";
"39781752000172 E & L PRODUCOES";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"441301";"06/05/2026";;"620,48";"0,00";
"02598162000107_UCL";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"440801";"06/05/2026";;"1.600,00";"0,00";
"29617631000136 - COMPANHIA SID";"ABERTO";"DEP. CONTA";"VENDAS";"435701";"07/05/2026";;"1.520,00";"0,00";
"22619622000135_RACOES SANTA MA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"442401";"07/05/2026";;"72,16";"0,00";
"36033397000165 EDIFICIO MALAGA";"ABERTO";"BOLETO";"VENDAS";"427303";"09/05/2026";;"351,00";"0,00";
"ARCELOR MITTAL BRASIL S/A";"ABERTO";"TRANSF. BANCÁRIA";"VENDAS";"437501";"10/05/2026";;"20.000,00";"0,00";
"ARCELOR MITTAL BRASIL S/A";"ABERTO";"TRANSF. BANCÁRIA";"VENDAS";"437601";"10/05/2026";;"640,00";"0,00";
"02766083000150 SABOR VITORIA A";"ABERTO";"BOLETO";"VENDAS";"439402";"11/05/2026";;"13.576,25";"0,00";
"60779520000176 BR SAUDE E ES";"ABERTO";"BOLETO";"VENDAS";"403003";"14/05/2026";;"518,85";"0,00";
"27187087000104 SANTA CASA";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"432002";"15/05/2026";;"498,75";"0,00";
"27187087000104 SANTA CASA";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"432101";"15/05/2026";;"606,25";"0,00";
"36043073000108 COND.ITAPAR";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"441101";"16/05/2026";;"1.175,00";"0,00";
"50447521000160_MRV MOTO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"441401";"16/05/2026";;"209,00";"0,00";
"22509929000183 ACADEMIA MOVEME";"ABERTO";"CARTÃO CRÉDITO";"VENDAS";"350701";"16/05/2026";;"1.135,84";"0,00";
"27338466000158 MOVEIS CONQUIST";"ABERTO";"BOLETO";"VENDAS";"405903";"20/05/2026";;"331,74";"0,00";
"27277961000102 SUPERMERCADOS P";"ABERTO";"BOLETO";"VENDAS";"436303";"23/05/2026";;"2.511,00";"0,00";
"14509405000164 ROBSON BINDACO";"ABERTO";"BOLETO";"VENDAS";"438003";"25/05/2026";;"941,44";"0,00";
"03604115000183_INST. NEFROLOGI";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"402601";"25/05/2026";;"505,70";"0,00";
"26667678000116 CARLOS EDUARDO";"ABERTO";"BOLETO";"VENDAS";"438103";"26/05/2026";;"447,00";"0,00";
"13248429000144 GO SERV TRANSPO";"ABERTO";"BOLETO";"VENDAS";"439602";"30/05/2026";;"6.065,46";"0,00";
"27187087000104 SANTA CASA";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"432102";"15/06/2026";;"606,25";"0,00";
"14509405000164 ROBSON BINDACO";"ABERTO";"BOLETO";"VENDAS";"438004";"24/06/2026";;"941,43";"0,00";
"13248429000144 GO SERV TRANSPO";"ABERTO";"BOLETO";"VENDAS";"439603";"29/06/2026";;"6.067,28";"0,00";
;;;;;;;"359.989,06";"0,00";
