Cliente;Status;Tipo Pagto;Conta Financeira;Documento;Dt. Vencimento;Dt. Pagamento;Valor Título;Valor Pago;
"17469701027709 ARCELORMITTAL";"ABERTO";"DEP. CONTA";"VENDAS";"393801";"22/03/2026";;"130,00";"0,00";
"17469701027709 ARCELORMITTAL";"ABERTO";"DEP. CONTA";"VENDAS";"394001";"22/03/2026";;"130,00";"0,00";
"63997314000120 ACADEMIA MAYKON";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"431401";"25/03/2026";;"540,00";"0,00";
"32402414000133 HOSPITALMETROP";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"431601";"25/03/2026";;"1.688,81";"0,00";
"18019432000100_GRAN VIX";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"432601";"25/03/2026";;"275,50";"0,00";
"03604115000183_INST. NEFROLOGI";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"402601";"25/03/2026";;"505,70";"0,00";
"20181722000105 TALIEVI";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"433501";"27/03/2026";;"1.105,00";"0,00";
"22958721000141-FAST LOG SERVIC";"ABERTO";"PIX";"VENDAS";"438201";"28/03/2026";;"34,00";"0,00";
"17469701027709 ARCELORMITTAL";"ABERTO";"DEP. CONTA";"VENDAS";"401501";"29/03/2026";;"52,00";"0,00";
"51043136000110 FC FITNESS";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"423301";"30/03/2026";;"198,00";"0,00";
"40875704000122_SEACREST";"ABERTO";"TRANSF. BANCÁRIA";"SERVIÇOS CONTRATOS";"425101";"30/03/2026";;"3.138,00";"0,00";
"27142058001106_MUNICIPIODEVIT";"ABERTO";"TRANSF. BANCÁRIA";"SERVIÇOS CONTRATOS";"428101";"30/03/2026";;"237,50";"0,00";
"40875704000203 SEACREST";"ABERTO";"TRANSF. BANCÁRIA";"SERVIÇOS CONTRATOS";"437701";"31/03/2026";;"5.500,00";"0,00";
"40875704000122_SEACREST";"ABERTO";"TRANSF. BANCÁRIA";"SERVIÇOS CONTRATOS";"428301";"31/03/2026";;"7.060,00";"0,00";
"04892707001000_DNIT";"ABERTO";"TRANSF. BANCÁRIA";"SERVIÇOS CONTRATOS";"412801";"01/04/2026";;"2.956,00";"0,00";
"14974625000169 MBX";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"421201";"02/04/2026";;"141,55";"0,00";
"18348094000150-MUNICIPIO DE AI";"ABERTO";"BOLETO";"VENDAS";"202401";"02/04/2026";;"948,60";"0,00";
"33082732000127 ACADEMIA HANGAR";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"434301";"03/04/2026";;"300,00";"0,00";
"03204109000139 CIABRASIL ENGE";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"434101";"03/04/2026";;"90,00";"0,00";
"03204109000139 CIABRASIL ENGE";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"434201";"03/04/2026";;"214,50";"0,00";
"21214277000197 CONDOMINIO DO E";"ABERTO";"BOLETO";"VENDAS";"390802";"03/04/2026";;"515,00";"0,00";
"05552292000199 ATLANTICA PRODU";"ABERTO";"BOLETO";"VENDAS";"422102";"04/04/2026";;"939,00";"0,00";
"27169879000156 BRASITALIA";"ABERTO";"BOLETO";"VENDAS";"391402";"04/04/2026";;"2.098,12";"0,00";
"04746729000162 LEVANTINA NATUR";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"418201";"05/04/2026";;"421,26";"0,00";
